HouseID,SizeSqFt,Bedrooms,Bathrooms,Location,PriceUSD,RentUSD
191,550,3,2,San Diego,202400,1228
192,1223,1,3,Philadelphia,497761,3756
193,3537,4,2,Phoenix,1216728,6963
194,3233,2,1,Houston,947269,5684
195,3254,5,3,Phoenix,1148662,11020
196,3662,5,1,Phoenix,1439166,10898
197,4956,1,2,New York,624456,5064
198,4726,5,3,Dallas,1214582,9043
199,4669,5,2,Dallas,1330665,8732
200,2605,5,1,New York,369910,1306
201,527,5,1,Phoenix,192355,1914
202,1642,3,1,San Diego,367808,1689
203,4722,3,1,Dallas,1341048,6964
204,4838,5,2,Houston,1257880,10726
205,3315,2,1,New York,1418820,13413
206,4763,5,1,San Jose,1028808,3978
207,3264,3,2,Los Angeles,1116288,4313
208,4013,3,3,San Diego,1661382,13049
209,2343,1,2,Los Angeles,405339,1263
210,2348,1,2,Houston,711444,7036
211,4645,2,2,Philadelphia,2020575,16241
212,4647,4,2,San Antonio,715638,5246
213,4948,3,2,San Antonio,2276080,4811
214,1623,3,3,Philadelphia,589149,2388
215,2774,3,3,San Jose,773946,2856
216,3961,1,3,Chicago,1053626,5800
217,705,5,1,New York,99405,657
218,833,1,3,Philadelphia,369852,1544
219,3484,5,3,Houston,393692,1435
220,1477,5,1,Philadelphia,292446,690
221,2346,2,2,Chicago,626382,2489
222,3939,2,1,San Antonio,1571661,10341
223,3308,2,1,San Antonio,671524,5119
224,3559,5,1,Los Angeles,1430718,10984
225,624,1,3,Los Angeles,232128,1195
226,4983,4,1,Houston,2192520,11226
227,4216,2,1,Dallas,1905632,4889
228,3458,3,3,Houston,916370,8683
229,4453,4,2,Philadelphia,2035021,10641
230,1449,4,2,Chicago,424557,3983
231,4441,1,1,San Diego,786057,2926
232,3853,2,3,Chicago,1283049,4190
233,941,2,1,Los Angeles,235250,1508
234,1917,1,1,Phoenix,647946,3335
235,2414,2,1,San Antonio,410380,2535
236,4154,1,1,Houston,1067578,3832
237,1808,4,3,San Antonio,593024,1212
238,4923,4,1,Houston,2072583,7679
239,2000,2,2,Phoenix,914000,2312
240,4970,3,3,Chicago,2137100,14098
241,4949,1,1,Phoenix,534492,3668
242,3187,4,3,Los Angeles,1580752,11229
243,3841,1,3,Phoenix,514694,1702
244,647,5,3,San Antonio,65994,362
245,3646,1,1,San Antonio,1793832,13732
246,4206,5,1,San Antonio,895878,6508
247,1831,4,1,Phoenix,567610,4830
248,3263,1,1,Dallas,1461824,4728
249,702,5,3,Chicago,93366,628
250,2306,5,3,Houston,260578,1059
251,3465,4,2,Chicago,699930,4385
252,3827,4,2,Phoenix,1255256,4849
253,1691,2,1,San Diego,749113,2363
254,2054,4,1,Los Angeles,295776,2422
255,3321,1,3,Phoenix,1368252,12196
256,1136,4,2,Philadelphia,374880,3470
257,4080,2,3,New York,803760,2367
258,2929,3,2,San Diego,1458642,9409
259,661,3,2,San Jose,93201,868
260,2929,1,2,Los Angeles,571155,2101
261,2926,4,1,Chicago,459382,1620
262,565,5,2,San Diego,81360,275
263,2015,4,3,Houston,586365,2737
264,3674,5,1,San Diego,925848,2526
265,2908,4,1,Houston,1247532,4249
266,599,3,3,San Jose,89850,586
267,1156,5,2,Phoenix,561816,3116
268,1960,2,2,New York,619360,2348
269,3526,5,3,Los Angeles,1621960,13613
270,4751,1,1,Dallas,1620091,4625
271,4253,4,3,Los Angeles,1024973,9597
272,1639,1,2,Chicago,445808,3184
273,1543,5,3,Houston,665033,3628
274,4447,4,3,San Antonio,1761012,16277
275,2197,1,2,New York,626145,3695
276,4249,1,1,Los Angeles,756322,5224
277,510,5,2,Phoenix,124440,712
278,1670,3,3,Phoenix,367400,2658
279,2005,5,3,Phoenix,292730,743
280,2397,3,3,Chicago,908463,8613
281,1274,4,3,Chicago,550368,2922
282,2015,3,3,Dallas,511810,2458
283,3478,2,2,Phoenix,1669440,11285
284,4633,4,1,Chicago,1325038,11020
285,1355,2,1,San Jose,219510,1797
286,1514,4,3,San Jose,644964,3209
287,3540,1,2,New York,1196520,2848
288,3324,3,2,San Diego,937368,7514
289,2949,3,3,San Jose,1203192,7490
290,2227,1,1,Philadelphia,527799,2413
291,1823,1,1,San Diego,630758,6068
292,1200,4,1,Philadelphia,310800,1838
293,4677,4,2,Philadelphia,1753875,10670
294,2470,5,2,Los Angeles,550810,1636
295,2571,1,1,New York,1149237,9926
296,3847,2,2,Los Angeles,392394,1344
297,987,5,2,San Diego,142128,955
298,1428,4,1,New York,695436,5596
299,2387,5,2,New York,790097,3599
300,2913,1,3,New York,932160,7789
301,651,1,1,Phoenix,284487,1635
302,2524,2,2,Philadelphia,696624,5002
303,4150,1,2,San Antonio,1037500,7200
304,2844,2,3,San Antonio,685404,1869
305,3176,1,3,San Antonio,921040,4154
306,1777,3,2,San Diego,769441,4859
307,702,3,3,Los Angeles,183924,1450
308,3760,1,3,Phoenix,1838640,11256
309,1430,4,3,New York,387530,1581
310,604,2,1,San Diego,143148,636
311,4745,2,2,New York,1091350,9721
312,1578,4,1,New York,768486,2667
313,4916,1,1,San Diego,526012,1547
314,2466,4,3,Houston,429084,3811
315,3666,2,2,San Diego,982488,2009
316,4403,4,3,Houston,1558662,12338
317,4481,1,3,Dallas,1841691,7864
318,1113,3,3,Phoenix,204792,636
319,4030,5,1,Los Angeles,668980,2873
320,849,4,3,Phoenix,406671,3714
321,521,3,2,Chicago,88570,578
322,1132,2,1,Chicago,406388,2486
323,3488,4,3,Philadelphia,1301024,12893
324,4730,4,2,San Antonio,482460,2093
325,3624,1,3,Chicago,1224912,6235
326,2268,1,1,Phoenix,1118124,4600
327,1220,1,1,Chicago,469700,1014
328,2154,5,1,Dallas,224016,893
329,4527,1,2,San Diego,1810800,16095
330,2719,5,1,San Jose,524767,2355
331,4703,1,2,Dallas,1011145,2928
332,2432,3,1,San Diego,1031168,6096
333,2848,2,3,Chicago,996800,8005
334,4600,4,3,San Antonio,1605400,6927
335,2836,1,3,New York,1227988,6591
336,4920,3,2,New York,2425560,16568
337,912,3,3,Dallas,176016,1669
338,4101,2,3,Chicago,1353330,6141
339,859,5,1,Chicago,105657,413
340,3880,3,3,Los Angeles,1711080,16265
341,3996,1,3,San Jose,1570428,5235
342,1069,3,3,San Antonio,243732,749
343,1026,1,3,New York,162108,811
344,2001,3,3,Phoenix,482241,1789
345,2505,2,3,Houston,1042080,2230
346,1905,4,1,San Jose,573405,4634
347,4025,1,2,Los Angeles,1662325,4738
348,3102,2,1,San Jose,353628,1382
349,4572,1,1,Los Angeles,2135124,20152
350,1978,4,3,New York,488566,2397
351,1759,2,2,Los Angeles,714154,1483
352,3988,4,1,New York,973072,2351
353,4333,5,2,Phoenix,784273,6701
354,1561,5,2,Philadelphia,565082,5280
355,4852,3,1,San Jose,1373116,12938
356,2768,5,1,Philadelphia,589584,2197
357,2617,4,2,San Diego,1159331,7608
358,3432,1,3,Houston,1506648,11853
359,1503,3,1,Los Angeles,369738,2831
360,2317,2,2,Dallas,252553,1968
361,864,1,2,San Jose,202176,428
362,2756,3,1,Philadelphia,529152,2517
363,4964,1,3,New York,1608336,10433
364,1702,4,2,San Diego,845894,7605
365,4417,5,2,New York,1144003,9326
366,4165,3,2,Dallas,1120385,4845
367,1903,1,2,San Antonio,213136,626
368,729,1,1,San Jose,325134,979
369,2440,2,3,San Diego,917440,3296
370,3178,1,1,New York,1334760,5225
371,2652,5,1,Philadelphia,1084668,8073
372,4314,2,2,Philadelphia,1846392,10698
373,2422,4,1,Chicago,1085056,10444
374,3430,1,3,Phoenix,1193640,11234
375,3127,2,2,San Jose,1169498,6922
376,3108,3,1,Dallas,1258740,7225
377,892,4,1,Dallas,410320,1210
378,3780,4,2,New York,1175580,9035
379,707,1,1,Philadelphia,304010,2761
380,4085,1,1,Los Angeles,751640,2250
381,4510,4,3,Philadelphia,1325940,8418
382,998,2,1,New York,130738,1150
383,3735,5,2,Los Angeles,885195,2903
384,4269,5,3,Los Angeles,1186782,6838
385,4700,3,3,Philadelphia,1085700,8838
386,3686,1,1,Chicago,1489144,4049
387,4389,3,3,Phoenix,807576,4418
388,4045,2,1,San Jose,448995,4232
389,4091,1,1,New York,1562762,15580
390,4457,4,2,San Diego,1466353,14037
391,4216,3,1,Houston,442680,2090
392,3998,5,1,Houston,1671164,16511
393,857,1,1,San Jose,130264,992
394,3661,3,3,Chicago,1288672,5963
395,2359,1,2,New York,375081,2033
396,4633,5,3,San Antonio,1074856,3558
397,771,3,3,New York,223590,1396
398,1646,2,2,New York,788434,4662
399,3015,2,3,San Antonio,931635,5994
400,4842,4,3,Houston,2106270,18969
401,1324,4,3,Los Angeles,152260,1384
402,529,3,3,Dallas,89401,790
403,825,4,2,Chicago,167475,1350
404,4418,5,1,Phoenix,1484448,3628
405,4579,1,3,San Diego,1378279,11299
406,1698,1,3,Houston,275076,781
407,2547,4,2,Chicago,1046817,2655
408,2373,4,1,Chicago,258657,2377
409,1278,3,1,Philadelphia,138024,689
410,592,1,1,Chicago,127872,347
411,2221,4,1,Houston,1017218,9520
412,4756,5,3,San Diego,917908,5956
413,1234,3,2,New York,531854,3166
414,1047,5,2,San Diego,342369,1629
415,2662,5,2,Chicago,742698,4620
416,2920,3,3,Los Angeles,884760,4328
417,2063,5,3,Los Angeles,482742,1909
418,1794,4,3,Los Angeles,430560,1096
419,3573,1,3,Houston,653859,6460
420,2894,1,1,San Jose,599058,1857
421,4646,1,1,San Jose,1291588,3568
422,1134,3,3,Houston,560196,3686
423,4155,4,3,Philadelphia,1890525,15186
424,619,2,2,San Jose,139275,990
425,4234,3,1,Chicago,910310,4863
426,1020,4,1,San Diego,372300,2047
427,4634,4,1,Houston,2312366,14014
428,1028,3,2,San Diego,385500,3022
429,3664,1,1,Dallas,1128512,8791
430,1175,1,3,San Antonio,244400,1013
431,2083,1,3,San Jose,324948,1005
432,3582,3,3,San Antonio,1737270,5370
433,3847,1,1,New York,1900418,7662
434,1470,5,3,Houston,245490,925
435,4911,4,1,Philadelphia,1252305,2552
436,3966,1,3,Philadelphia,567138,2139
437,542,2,3,San Jose,216258,1273
438,2009,2,3,Dallas,1000482,3310
439,2811,1,2,San Antonio,607176,3819
440,4541,5,2,San Antonio,467723,982
441,2478,3,2,Chicago,1015980,3967
442,1469,1,3,Chicago,724217,4494
443,2258,2,2,San Jose,645788,5596
444,1748,2,2,Phoenix,826804,3546
445,680,2,3,Houston,246160,1745
446,2551,5,1,San Antonio,285712,2664
447,2215,4,2,San Antonio,460720,3813
448,2017,3,2,Chicago,867310,8133
449,893,5,2,San Diego,125020,785
450,1778,5,1,San Jose,842772,4743
451,2832,2,1,Houston,696672,5979
452,774,3,1,New York,236070,533
453,1489,1,2,San Antonio,212927,1239
454,2581,5,2,New York,503295,2264
455,3263,2,2,Philadelphia,1027845,10219
456,653,5,3,Dallas,131253,480
457,680,1,2,Phoenix,155040,1261
458,4554,1,3,Chicago,1329768,4233
459,4992,5,1,Houston,628992,5846
460,4492,3,2,Philadelphia,1271236,12269
461,1973,4,3,San Jose,647144,2374
462,1356,5,2,San Antonio,211536,787
463,505,5,3,Dallas,201495,1659
464,4094,2,2,San Antonio,1907804,9094
465,3849,2,2,San Diego,758253,1773
466,1660,2,2,New York,650720,6394
467,1980,5,3,San Antonio,948420,3764
468,1645,4,2,San Diego,352030,2418
469,705,3,3,Los Angeles,78255,196
470,3515,2,3,Phoenix,643245,4725
471,2487,1,2,Phoenix,499887,2284
472,2681,4,2,Philadelphia,340487,860
473,2357,5,2,Philadelphia,989940,2163
474,1583,1,2,Los Angeles,253280,1395
475,4990,5,1,San Jose,1307380,10731
476,3209,4,3,Los Angeles,1424796,13684
477,1828,5,3,Los Angeles,241296,1924
478,2324,1,3,Philadelphia,469448,3807
479,4303,3,3,New York,1880411,14727
480,3340,2,3,Phoenix,1269200,6272
481,4244,5,1,San Jose,1867360,13789
482,3350,5,3,Dallas,747050,3690
483,856,1,1,Philadelphia,122408,534
484,2757,4,2,San Antonio,573456,4335
485,2522,2,1,Philadelphia,418652,2420
486,1734,5,3,New York,228888,2286
487,978,2,1,Phoenix,313938,2420
488,1684,3,1,Chicago,516988,4009
489,3767,5,2,Philadelphia,817439,3493
490,4318,1,2,San Jose,2141728,14401
491,4550,5,1,Phoenix,555100,1642
492,1911,3,3,San Jose,825552,7868
493,4079,2,1,New York,554744,4489
494,1777,1,1,San Jose,765887,7466
495,1411,5,2,Phoenix,491028,4182
496,1910,3,1,San Diego,439300,4255
497,859,1,3,Phoenix,360780,1937
498,4560,4,1,New York,1140000,2936
499,591,5,3,San Antonio,80376,290
500,504,5,3,San Diego,89208,294
501,503,5,1,Philadelphia,158948,1137
502,2296,2,3,San Diego,509712,2359
503,3859,5,1,San Antonio,1524305,10353
504,2031,3,2,San Diego,617424,5823
505,1378,1,3,Chicago,666952,4303
506,4825,3,3,Philadelphia,1693575,4473
507,1698,1,3,Houston,809946,4374
508,2410,4,2,San Diego,554300,1369
509,1206,3,2,New York,223110,2142
510,4976,2,3,Phoenix,2308864,22788
511,2538,4,2,Phoenix,692874,2685
512,2224,1,1,San Diego,765056,4622
513,1856,3,2,San Diego,729408,3835
514,977,3,1,San Antonio,290169,2426
515,1507,5,3,Philadelphia,384285,1063
516,868,1,1,San Antonio,105896,1048
517,1696,4,2,Los Angeles,283232,654
518,3283,3,1,San Diego,722260,4380
519,714,1,3,Houston,94962,702
520,2744,2,3,Phoenix,825944,6360
521,3094,2,3,Phoenix,1200472,5336
522,4461,4,2,San Jose,1628265,5290
523,978,5,2,San Jose,269928,1185
524,2673,4,3,New York,860706,5510
525,1716,3,1,Phoenix,384384,2487
526,4887,1,1,San Antonio,2287116,18490
527,3390,5,2,New York,539010,2637
528,695,3,1,Philadelphia,152900,1053
529,1161,4,1,Houston,361071,1748
530,954,1,1,Chicago,389232,2615
531,3949,1,2,San Antonio,1034638,8160
532,2405,1,3,Houston,798460,5242
533,3064,1,2,San Antonio,1470720,10889
534,4004,3,2,Los Angeles,1677676,11817
535,2258,3,2,San Jose,706754,6439
536,1120,1,3,Philadelphia,168000,479
537,4062,3,1,Houston,552432,3924
538,1548,5,3,Phoenix,750780,4973
539,4089,2,2,Houston,1639689,3291
540,2667,1,3,Philadelphia,818769,1684
541,4358,3,2,Los Angeles,644984,4539
542,830,2,3,San Antonio,410850,3322
543,1748,2,2,San Jose,643264,3393
544,4215,2,2,San Diego,1799805,8519
545,738,2,3,San Antonio,151290,717
546,4344,5,1,San Antonio,651600,5486
547,1564,3,1,New York,678776,6216
548,4898,1,2,Dallas,2081650,11002
549,4087,3,2,Houston,1884107,11756
550,1841,4,3,Philadelphia,839496,8360
551,3087,3,3,Houston,1095885,9217
552,4649,1,2,Phoenix,1501627,4794
553,3274,4,2,San Diego,1620630,8248
554,667,3,2,Houston,239453,2119
555,731,3,1,Dallas,99416,513
556,2093,3,2,Philadelphia,359996,1623
557,1402,2,3,New York,399570,3659
558,4760,1,3,Philadelphia,1485120,4730
559,3053,5,1,San Jose,934218,6707
560,4487,4,3,San Jose,2081968,4798
561,3918,1,2,Houston,1230252,11275
562,3733,5,3,San Diego,1071371,4142
563,740,3,2,Chicago,358900,1425
564,2019,2,3,Houston,942873,5088
565,4748,2,2,San Jose,1780500,13230
566,508,4,1,San Diego,211836,1338
567,1845,1,2,New York,588555,5773
568,2431,2,3,Los Angeles,1162018,6230
569,1393,5,1,San Jose,571130,4786
570,2487,1,1,New York,1188786,7027
571,3819,3,3,San Antonio,1390116,11746
572,4896,4,1,Dallas,621792,4811
573,600,5,1,San Jose,183600,854
574,4054,2,2,Philadelphia,1568898,9564
575,2405,1,2,San Diego,1151995,6542
576,4415,3,1,San Antonio,860925,3289
577,2965,3,2,San Antonio,756075,6095
578,4734,3,3,Philadelphia,2272320,6986
579,4075,3,2,Phoenix,1185825,10603
580,4763,5,2,San Diego,966889,5291
581,614,2,1,Philadelphia,101310,875
582,601,3,1,San Diego,108180,1026
583,1503,5,2,Philadelphia,444888,2102
584,3331,3,2,San Jose,1385696,10964
585,3362,3,3,Dallas,1371696,11224
586,2391,2,3,San Diego,942054,8956
587,4065,5,2,New York,784545,4696
588,1711,4,2,Chicago,622804,4600
589,4583,3,2,Chicago,852438,6071
590,1938,5,3,New York,786828,4318
591,890,4,3,Phoenix,187790,1561
592,3622,1,2,Los Angeles,919988,4163
593,3067,2,1,Phoenix,616467,5669
594,3194,2,3,Chicago,1255242,11721
595,2447,1,3,San Antonio,900496,6882
596,2111,1,3,Chicago,510862,3453
597,1535,2,1,Houston,610930,1841
598,1582,3,2,Dallas,463526,3778
599,3308,5,2,Phoenix,1409208,10319
600,1526,4,1,San Diego,688226,6041
601,1410,1,3,Philadelphia,327120,2895
602,2328,5,2,Chicago,724008,3474
603,3520,4,1,San Antonio,939840,7770
604,1498,1,3,Houston,726530,3601
605,4020,2,3,New York,763800,2463
606,3313,1,1,Chicago,1507415,8643
607,3684,4,2,Philadelphia,622596,5043
608,3402,1,3,Philadelphia,364014,829
609,822,3,2,Houston,284412,1935
610,3552,1,1,Los Angeles,415584,3126
611,4609,1,1,Philadelphia,1912735,13261
612,4688,1,2,Chicago,1322016,11118
613,1475,2,1,Phoenix,699150,3361
614,3258,5,3,Dallas,1130526,6747
615,3656,3,2,Los Angeles,1575736,10600
616,4522,1,3,Los Angeles,1302336,4422
617,1191,2,1,San Diego,164358,889
618,2750,5,1,Philadelphia,885500,3553
619,1217,5,1,Los Angeles,327373,3173
620,1764,4,3,San Antonio,756756,1977
621,1105,5,3,San Antonio,446420,4250
622,2780,5,1,Phoenix,920180,3991
623,4851,3,2,Los Angeles,2158695,13513
624,4358,2,3,New York,2104914,18728
625,4431,5,1,Dallas,713391,5271
626,888,2,3,San Diego,102120,1019
627,3558,3,2,Chicago,1608216,13997
628,3492,4,1,San Diego,963792,4526
629,1988,2,3,Phoenix,318080,3011
630,4400,3,2,Dallas,1456400,4219
631,1603,1,3,Dallas,750204,6700
632,1992,5,2,New York,830664,1826
633,3697,4,1,Los Angeles,1645165,13611
634,2632,5,2,San Diego,868560,6855
635,3937,5,3,Houston,858266,5775
636,1953,4,1,Los Angeles,505827,3981
637,598,3,1,Houston,261326,775
638,677,5,1,Chicago,265384,934
639,1090,2,3,Chicago,255060,1821
640,4370,5,2,Dallas,1678080,15048
641,3325,1,2,San Diego,1210300,3933
642,3190,5,3,New York,972950,4916
643,989,4,3,Philadelphia,318458,3149
644,837,2,2,Philadelphia,270351,1202
645,2553,5,1,Dallas,1085025,5524
646,4600,3,1,Philadelphia,1297200,9928
647,4056,2,1,New York,1253304,9700
648,1266,4,2,Philadelphia,324096,2653
649,3796,1,3,Philadelphia,1700608,4668
650,2736,5,2,Dallas,470592,4221
651,4890,5,3,San Diego,2141820,18179
652,1287,5,1,Los Angeles,610038,3258
653,1398,2,3,San Jose,636090,4562
654,1726,3,2,Chicago,198490,481
655,4133,3,1,San Jose,1768924,9800
656,4262,5,3,San Antonio,796994,6259
657,2495,1,2,Chicago,1187620,2798
658,1044,3,3,Houston,177480,1253
659,4953,3,2,Philadelphia,1173861,11268
660,1699,1,1,Houston,446837,3093
661,977,4,1,Philadelphia,400570,987
662,861,5,3,San Antonio,411558,1962
663,4318,3,3,Los Angeles,1843786,11263
664,1457,4,2,Phoenix,543461,5049
665,1423,1,3,San Diego,187836,920
666,1214,2,2,San Jose,316854,1458
667,1697,4,1,San Jose,522676,3977
668,2799,3,1,Philadelphia,1217565,8246
669,3402,5,1,Los Angeles,1530900,3773
670,656,2,2,Los Angeles,284704,1818
671,2711,4,1,Phoenix,431049,2101
672,3956,5,2,Dallas,747684,6442
673,953,3,1,San Diego,259216,2370
674,3108,1,1,Philadelphia,341880,3046
675,2139,5,3,Philadelphia,872712,3662
676,865,4,3,Philadelphia,126290,799
677,2860,3,2,Chicago,815100,3852
678,691,2,3,San Antonio,75319,731
679,4421,3,1,Houston,1786084,5717
680,4542,4,2,San Diego,776682,1767
681,802,4,3,Phoenix,237392,2242
682,2140,2,2,Dallas,620600,3592
